,payment_type_id,payment_type,payment_type_name
0,0,1,Credit card
1,1,1,Credit card
2,2,1,Credit card
3,3,1,Credit card
4,4,1,Credit card
5,5,1,Credit card
6,6,2,Cash
7,7,3,No charge
8,8,1,Credit card
9,9,1,Credit card
10,10,2,Cash
11,11,2,Cash
12,12,1,Credit card
13,13,1,Credit card
14,14,1,Credit card
15,15,1,Credit card
16,16,2,Cash
17,17,1,Credit card
18,18,1,Credit card
19,19,1,Credit card
20,20,2,Cash
21,21,2,Cash
22,22,1,Credit card
23,23,2,Cash
24,24,1,Credit card
25,25,2,Cash
26,26,1,Credit card
27,27,1,Credit card
28,28,1,Credit card
29,29,1,Credit card
30,30,2,Cash
31,31,2,Cash
32,32,1,Credit card
33,33,1,Credit card
34,34,1,Credit card
35,35,2,Cash
36,36,1,Credit card
37,37,1,Credit card
38,38,1,Credit card
39,39,1,Credit card
40,40,2,Cash
41,41,2,Cash
42,42,1,Credit card
43,43,2,Cash
44,44,1,Credit card
45,45,2,Cash
46,46,1,Credit card
47,47,1,Credit card
48,48,1,Credit card
49,49,1,Credit card
50,50,1,Credit card
51,51,1,Credit card
52,52,1,Credit card
53,53,2,Cash
54,54,1,Credit card
55,55,2,Cash
56,56,2,Cash
57,57,1,Credit card
58,58,1,Credit card
59,59,1,Credit card
60,60,1,Credit card
61,61,1,Credit card
62,62,1,Credit card
63,63,2,Cash
64,64,1,Credit card
65,65,1,Credit card
66,66,2,Cash
67,67,1,Credit card
68,68,1,Credit card
69,69,1,Credit card
70,70,1,Credit card
71,71,1,Credit card
72,72,1,Credit card
73,73,1,Credit card
74,74,1,Credit card
75,75,1,Credit card
76,76,2,Cash
77,77,2,Cash
78,78,1,Credit card
79,79,1,Credit card
80,80,2,Cash
81,81,1,Credit card
82,82,2,Cash
83,83,1,Credit card
84,84,1,Credit card
85,85,1,Credit card
86,86,1,Credit card
87,87,1,Credit card
88,88,2,Cash
89,89,2,Cash
90,90,1,Credit card
91,91,1,Credit card
92,92,1,Credit card
93,93,1,Credit card
94,94,2,Cash
95,95,1,Credit card
96,96,1,Credit card
97,97,1,Credit card
98,98,2,Cash
99,99,1,Credit card
100,100,1,Credit card
101,101,2,Cash
102,102,1,Credit card
103,103,1,Credit card
104,104,1,Credit card
105,105,1,Credit card
106,106,1,Credit card
107,107,1,Credit card
108,108,2,Cash
109,109,3,No charge
110,110,2,Cash
111,111,1,Credit card
112,112,1,Credit card
113,113,1,Credit card
114,114,1,Credit card
115,115,2,Cash
116,116,1,Credit card
117,117,1,Credit card
118,118,1,Credit card
119,119,2,Cash
120,120,2,Cash
121,121,2,Cash
122,122,1,Credit card
123,123,1,Credit card
124,124,1,Credit card
125,125,1,Credit card
126,126,2,Cash
127,127,1,Credit card
128,128,1,Credit card
129,129,2,Cash
130,130,1,Credit card
131,131,2,Cash
132,132,1,Credit card
133,133,1,Credit card
134,134,1,Credit card
135,135,2,Cash
136,136,1,Credit card
137,137,1,Credit card
138,138,2,Cash
139,139,2,Cash
140,140,1,Credit card
141,141,1,Credit card
142,142,1,Credit card
143,143,1,Credit card
144,144,1,Credit card
145,145,2,Cash
146,146,1,Credit card
147,147,1,Credit card
148,148,1,Credit card
149,149,1,Credit card
150,150,1,Credit card
151,151,1,Credit card
152,152,1,Credit card
153,153,1,Credit card
154,154,1,Credit card
155,155,1,Credit card
156,156,1,Credit card
157,157,1,Credit card
158,158,1,Credit card
159,159,1,Credit card
160,160,1,Credit card
161,161,2,Cash
162,162,1,Credit card
163,163,1,Credit card
164,164,1,Credit card
165,165,1,Credit card
166,166,2,Cash
167,167,1,Credit card
168,168,1,Credit card
169,169,1,Credit card
170,170,1,Credit card
171,171,1,Credit card
172,172,1,Credit card
173,173,1,Credit card
174,174,1,Credit card
175,175,1,Credit card
176,176,2,Cash
177,177,2,Cash
178,178,1,Credit card
179,179,2,Cash
180,180,1,Credit card
181,181,1,Credit card
182,182,1,Credit card
183,183,1,Credit card
184,184,1,Credit card
185,185,2,Cash
186,186,1,Credit card
187,187,1,Credit card
188,188,1,Credit card
189,189,1,Credit card
190,190,1,Credit card
191,191,1,Credit card
192,192,1,Credit card
193,193,1,Credit card
194,194,1,Credit card
195,195,1,Credit card
196,196,1,Credit card
197,197,1,Credit card
198,198,2,Cash
199,199,1,Credit card
200,200,2,Cash
201,201,1,Credit card
202,202,1,Credit card
203,203,1,Credit card
204,204,2,Cash
205,205,2,Cash
206,206,2,Cash
207,207,1,Credit card
208,208,2,Cash
209,209,1,Credit card
210,210,2,Cash
211,211,2,Cash
212,212,1,Credit card
213,213,1,Credit card
214,214,1,Credit card
215,215,1,Credit card
216,216,1,Credit card
217,217,1,Credit card
218,218,2,Cash
219,219,2,Cash
220,220,1,Credit card
221,221,1,Credit card
222,222,1,Credit card
223,223,1,Credit card
224,224,2,Cash
225,225,1,Credit card
226,226,1,Credit card
227,227,2,Cash
228,228,1,Credit card
229,229,1,Credit card
230,230,2,Cash
231,231,2,Cash
232,232,1,Credit card
233,233,1,Credit card
234,234,2,Cash
235,235,1,Credit card
236,236,1,Credit card
237,237,1,Credit card
238,238,1,Credit card
239,239,1,Credit card
240,240,1,Credit card
241,241,1,Credit card
242,242,1,Credit card
243,243,1,Credit card
244,244,1,Credit card
245,245,1,Credit card
246,246,1,Credit card
247,247,1,Credit card
248,248,2,Cash
249,249,1,Credit card
250,250,1,Credit card
251,251,1,Credit card
252,252,1,Credit card
253,253,1,Credit card
254,254,1,Credit card
255,255,1,Credit card
256,256,1,Credit card
257,257,1,Credit card
258,258,1,Credit card
259,259,2,Cash
260,260,1,Credit card
261,261,1,Credit card
262,262,1,Credit card
263,263,2,Cash
264,264,1,Credit card
265,265,1,Credit card
266,266,2,Cash
267,267,1,Credit card
268,268,2,Cash
269,269,1,Credit card
270,270,1,Credit card
271,271,1,Credit card
272,272,1,Credit card
273,273,2,Cash
274,274,1,Credit card
275,275,1,Credit card
276,276,1,Credit card
277,277,1,Credit card
278,278,2,Cash
279,279,1,Credit card
280,280,1,Credit card
281,281,2,Cash
282,282,1,Credit card
283,283,2,Cash
284,284,1,Credit card
285,285,2,Cash
286,286,1,Credit card
287,287,1,Credit card
288,288,1,Credit card
289,289,2,Cash
290,290,1,Credit card
291,291,1,Credit card
292,292,1,Credit card
293,293,1,Credit card
294,294,2,Cash
295,295,2,Cash
296,296,2,Cash
297,297,1,Credit card
298,298,2,Cash
299,299,2,Cash
300,300,1,Credit card
301,301,2,Cash
302,302,1,Credit card
303,303,1,Credit card
304,304,1,Credit card
305,305,2,Cash
306,306,1,Credit card
307,307,1,Credit card
308,308,1,Credit card
309,309,1,Credit card
310,310,1,Credit card
311,311,2,Cash
312,312,1,Credit card
313,313,1,Credit card
314,314,1,Credit card
315,315,2,Cash
316,316,2,Cash
317,317,1,Credit card
318,318,1,Credit card
319,319,1,Credit card
320,320,1,Credit card
321,321,1,Credit card
322,322,1,Credit card
323,323,1,Credit card
324,324,1,Credit card
325,325,1,Credit card
326,326,2,Cash
327,327,1,Credit card
328,328,2,Cash
329,329,2,Cash
330,330,1,Credit card
331,331,1,Credit card
332,332,2,Cash
333,333,1,Credit card
334,334,1,Credit card
335,335,1,Credit card
336,336,1,Credit card
337,337,1,Credit card
338,338,1,Credit card
339,339,1,Credit card
340,340,1,Credit card
341,341,2,Cash
342,342,1,Credit card
343,343,1,Credit card
344,344,1,Credit card
345,345,1,Credit card
346,346,1,Credit card
347,347,2,Cash
348,348,1,Credit card
349,349,1,Credit card
350,350,1,Credit card
351,351,1,Credit card
352,352,2,Cash
353,353,1,Credit card
354,354,2,Cash
355,355,1,Credit card
356,356,1,Credit card
357,357,2,Cash
358,358,2,Cash
359,359,1,Credit card
360,360,1,Credit card
361,361,1,Credit card
362,362,1,Credit card
363,363,2,Cash
364,364,2,Cash
365,365,1,Credit card
366,366,1,Credit card
367,367,1,Credit card
368,368,1,Credit card
369,369,1,Credit card
370,370,1,Credit card
371,371,1,Credit card
372,372,2,Cash
373,373,1,Credit card
374,374,1,Credit card
375,375,1,Credit card
376,376,1,Credit card
377,377,1,Credit card
378,378,2,Cash
379,379,1,Credit card
380,380,1,Credit card
381,381,1,Credit card
382,382,2,Cash
383,383,1,Credit card
384,384,1,Credit card
385,385,1,Credit card
386,386,2,Cash
387,387,1,Credit card
388,388,1,Credit card
389,389,2,Cash
390,390,1,Credit card
391,391,1,Credit card
392,392,1,Credit card
393,393,1,Credit card
394,394,2,Cash
395,395,1,Credit card
396,396,1,Credit card
397,397,1,Credit card
398,398,1,Credit card
399,399,2,Cash
400,400,1,Credit card
401,401,2,Cash
402,402,2,Cash
403,403,1,Credit card
404,404,1,Credit card
405,405,2,Cash
406,406,2,Cash
407,407,3,No charge
408,408,1,Credit card
409,409,2,Cash
410,410,1,Credit card
411,411,1,Credit card
412,412,2,Cash
413,413,2,Cash
414,414,2,Cash
415,415,1,Credit card
416,416,2,Cash
417,417,1,Credit card
418,418,1,Credit card
419,419,1,Credit card
420,420,1,Credit card
421,421,1,Credit card
422,422,1,Credit card
423,423,1,Credit card
424,424,1,Credit card
425,425,1,Credit card
426,426,1,Credit card
427,427,2,Cash
428,428,1,Credit card
429,429,1,Credit card
430,430,1,Credit card
431,431,1,Credit card
432,432,1,Credit card
433,433,1,Credit card
434,434,2,Cash
435,435,2,Cash
436,436,1,Credit card
437,437,1,Credit card
438,438,1,Credit card
439,439,1,Credit card
440,440,2,Cash
441,441,1,Credit card
442,442,2,Cash
443,443,1,Credit card
444,444,1,Credit card
445,445,1,Credit card
446,446,1,Credit card
447,447,1,Credit card
448,448,1,Credit card
449,449,2,Cash
450,450,1,Credit card
451,451,1,Credit card
452,452,1,Credit card
453,453,1,Credit card
454,454,1,Credit card
455,455,1,Credit card
456,456,1,Credit card
457,457,1,Credit card
458,458,1,Credit card
459,459,1,Credit card
460,460,2,Cash
461,461,1,Credit card
462,462,1,Credit card
463,463,1,Credit card
464,464,2,Cash
465,465,1,Credit card
466,466,1,Credit card
467,467,1,Credit card
468,468,1,Credit card
469,469,1,Credit card
470,470,1,Credit card
471,471,1,Credit card
472,472,2,Cash
473,473,2,Cash
474,474,1,Credit card
475,475,1,Credit card
476,476,1,Credit card
477,477,1,Credit card
478,478,1,Credit card
479,479,1,Credit card
480,480,1,Credit card
481,481,1,Credit card
482,482,1,Credit card
483,483,1,Credit card
484,484,1,Credit card
485,485,1,Credit card
486,486,1,Credit card
487,487,1,Credit card
488,488,1,Credit card
489,489,1,Credit card
490,490,1,Credit card
491,491,1,Credit card
492,492,1,Credit card
493,493,1,Credit card
494,494,2,Cash
495,495,1,Credit card
496,496,1,Credit card
497,497,1,Credit card
498,498,2,Cash
499,499,1,Credit card
500,500,2,Cash
501,501,1,Credit card
502,502,1,Credit card
503,503,1,Credit card
504,504,1,Credit card
505,505,2,Cash
506,506,1,Credit card
507,507,1,Credit card
508,508,1,Credit card
509,509,1,Credit card
510,510,1,Credit card
511,511,1,Credit card
512,512,2,Cash
513,513,2,Cash
514,514,1,Credit card
515,515,1,Credit card
516,516,2,Cash
517,517,2,Cash
518,518,2,Cash
519,519,1,Credit card
520,520,2,Cash
521,521,1,Credit card
522,522,2,Cash
523,523,1,Credit card
524,524,1,Credit card
525,525,1,Credit card
526,526,2,Cash
527,527,2,Cash
528,528,1,Credit card
529,529,1,Credit card
530,530,2,Cash
531,531,1,Credit card
532,532,2,Cash
533,533,2,Cash
534,534,1,Credit card
535,535,1,Credit card
536,536,1,Credit card
537,537,1,Credit card
538,538,1,Credit card
539,539,1,Credit card
540,540,2,Cash
541,541,1,Credit card
542,542,2,Cash
543,543,1,Credit card
544,544,1,Credit card
545,545,1,Credit card
546,546,1,Credit card
547,547,2,Cash
548,548,1,Credit card
549,549,1,Credit card
550,550,1,Credit card
551,551,1,Credit card
552,552,1,Credit card
553,553,1,Credit card
554,554,1,Credit card
555,555,1,Credit card
556,556,2,Cash
557,557,2,Cash
558,558,1,Credit card
559,559,1,Credit card
560,560,1,Credit card
561,561,1,Credit card
562,562,1,Credit card
563,563,1,Credit card
564,564,2,Cash
565,565,1,Credit card
566,566,1,Credit card
567,567,1,Credit card
568,568,2,Cash
569,569,1,Credit card
570,570,1,Credit card
571,571,1,Credit card
572,572,2,Cash
573,573,1,Credit card
574,574,2,Cash
575,575,1,Credit card
576,576,1,Credit card
577,577,1,Credit card
578,578,1,Credit card
579,579,1,Credit card
580,580,1,Credit card
581,581,1,Credit card
582,582,1,Credit card
583,583,1,Credit card
584,584,1,Credit card
585,585,2,Cash
586,586,1,Credit card
587,587,2,Cash
588,588,1,Credit card
589,589,1,Credit card
590,590,1,Credit card
591,591,1,Credit card
592,592,2,Cash
593,593,1,Credit card
594,594,1,Credit card
595,595,1,Credit card
596,596,1,Credit card
597,597,1,Credit card
598,598,1,Credit card
599,599,1,Credit card
600,600,1,Credit card
601,601,1,Credit card
602,602,2,Cash
603,603,2,Cash
604,604,1,Credit card
605,605,1,Credit card
606,606,1,Credit card
607,607,1,Credit card
608,608,1,Credit card
609,609,1,Credit card
610,610,1,Credit card
611,611,1,Credit card
612,612,2,Cash
613,613,1,Credit card
614,614,1,Credit card
615,615,1,Credit card
616,616,1,Credit card
617,617,1,Credit card
618,618,2,Cash
619,619,2,Cash
620,620,2,Cash
621,621,2,Cash
622,622,1,Credit card
623,623,1,Credit card
624,624,1,Credit card
625,625,1,Credit card
626,626,2,Cash
627,627,2,Cash
628,628,2,Cash
629,629,1,Credit card
630,630,2,Cash
631,631,1,Credit card
632,632,1,Credit card
633,633,1,Credit card
634,634,1,Credit card
635,635,2,Cash
636,636,2,Cash
637,637,1,Credit card
638,638,1,Credit card
639,639,1,Credit card
640,640,1,Credit card
641,641,2,Cash
642,642,1,Credit card
643,643,1,Credit card
644,644,1,Credit card
645,645,1,Credit card
646,646,1,Credit card
647,647,1,Credit card
648,648,1,Credit card
649,649,1,Credit card
650,650,2,Cash
651,651,1,Credit card
652,652,2,Cash
653,653,1,Credit card
654,654,2,Cash
655,655,2,Cash
656,656,2,Cash
657,657,2,Cash
658,658,2,Cash
659,659,1,Credit card
660,660,1,Credit card
661,661,1,Credit card
662,662,1,Credit card
663,663,2,Cash
664,664,1,Credit card
665,665,1,Credit card
666,666,1,Credit card
667,667,1,Credit card
668,668,2,Cash
669,669,1,Credit card
670,670,1,Credit card
671,671,1,Credit card
672,672,1,Credit card
673,673,1,Credit card
674,674,1,Credit card
675,675,1,Credit card
676,676,1,Credit card
677,677,1,Credit card
678,678,1,Credit card
679,679,1,Credit card
680,680,1,Credit card
681,681,2,Cash
682,682,1,Credit card
683,683,1,Credit card
684,684,1,Credit card
685,685,2,Cash
686,686,1,Credit card
687,687,1,Credit card
688,688,1,Credit card
689,689,2,Cash
690,690,2,Cash
691,691,1,Credit card
692,692,1,Credit card
693,693,1,Credit card
694,694,2,Cash
695,695,1,Credit card
696,696,1,Credit card
697,697,1,Credit card
698,698,2,Cash
699,699,1,Credit card
700,700,1,Credit card
701,701,1,Credit card
702,702,1,Credit card
703,703,1,Credit card
704,704,1,Credit card
705,705,1,Credit card
706,706,1,Credit card
707,707,1,Credit card
708,708,2,Cash
709,709,1,Credit card
710,710,1,Credit card
711,711,1,Credit card
712,712,1,Credit card
713,713,1,Credit card
714,714,1,Credit card
715,715,1,Credit card
716,716,1,Credit card
717,717,1,Credit card
718,718,1,Credit card
719,719,1,Credit card
720,720,1,Credit card
721,721,1,Credit card
722,722,1,Credit card
723,723,1,Credit card
724,724,1,Credit card
725,725,1,Credit card
726,726,2,Cash
727,727,1,Credit card
728,728,1,Credit card
729,729,1,Credit card
730,730,2,Cash
731,731,1,Credit card
732,732,1,Credit card
733,733,2,Cash
734,734,1,Credit card
735,735,2,Cash
736,736,1,Credit card
737,737,2,Cash
738,738,2,Cash
739,739,2,Cash
740,740,2,Cash
741,741,2,Cash
742,742,2,Cash
743,743,1,Credit card
744,744,1,Credit card
745,745,1,Credit card
746,746,2,Cash
747,747,1,Credit card
748,748,1,Credit card
749,749,1,Credit card
750,750,1,Credit card
751,751,1,Credit card
752,752,1,Credit card
753,753,2,Cash
754,754,1,Credit card
755,755,1,Credit card
756,756,1,Credit card
757,757,1,Credit card
758,758,1,Credit card
759,759,2,Cash
760,760,1,Credit card
761,761,1,Credit card
762,762,1,Credit card
763,763,2,Cash
764,764,2,Cash
765,765,2,Cash
766,766,1,Credit card
767,767,1,Credit card
768,768,2,Cash
769,769,2,Cash
770,770,1,Credit card
771,771,1,Credit card
772,772,1,Credit card
773,773,1,Credit card
774,774,2,Cash
775,775,1,Credit card
776,776,2,Cash
777,777,2,Cash
778,778,1,Credit card
